S. No.,Date,Month,Year,BSE Sensex Clsoing Price,Daily New Cases,Daily New Deaths,Daily New Cured,Complete LockDown imposed (Yes(1)/No(0)),Lockdown,Phase 1,Phase 2,Phase 3,Phase 4,Wave,People fully Vaccinated,CPI,Crude oil price,FII,DII,Exchange rate,Economic growth rate,Inflation,Repo,Reverse repo,IIP,Nasdaq
1,12-03-2020,3,2020,32778.14,0,0,0,0,0,0,0,0,0,1,0,148.6,31.5,-3475.29,3918.24,74.25,-7.97,5.5,4.4,4,117.2,7201.799805
2,13-03-2020,3,2020,34103.48,1,1,0,0,0,0,0,0,0,1,0,148.6,31.73,-6027.58,5867.9,73.86,-7.97,5.5,4.4,4,117.2,7874.879883
5,16-03-2020,3,2020,31390.07,7,0,3,0,0,0,0,0,0,1,0,148.6,28.7,-3809.93,2614.54,74.01,-7.97,5.5,4.4,4,117.2,6904.589844
6,17-03-2020,3,2020,30579.09,23,1,1,0,0,0,0,0,0,1,0,148.6,26.95,-4044.69,3422.12,74.26,-7.97,5.5,4.4,4,117.2,7334.779785
7,18-03-2020,3,2020,28869.51,9,0,0,0,0,0,0,0,0,1,0,148.6,20.37,-5085.35,3636.44,74.55,-7.97,5.5,4.4,4,117.2,6989.839844
8,19-03-2020,3,2020,28288.23,20,0,1,0,0,0,0,0,0,1,0,148.6,25.22,-4622.93,4367.43,74.78,-7.97,5.5,4.4,4,117.2,7150.580078
9,20-03-2020,3,2020,29915.96,29,1,5,0,0,0,0,0,0,1,0,148.6,22.43,-3806.11,2724.835,75.31,-7.97,5.5,4.4,4,117.2,6879.52002
12,23-03-2020,3,2020,25981.24,73,0,0,0,0,0,0,0,0,1,0,148.6,23.36,-2989.29,1082.24,76.29,-7.97,5.5,4.4,4,117.2,6860.669922
13,24-03-2020,3,2020,26674.03,59,2,13,0,0,0,0,0,0,1,0,148.6,24.01,-2153.35,1553.66,76.37,-7.97,5.5,4.4,4,117.2,7417.859863
14,25-03-2020,3,2020,28535.78,27,1,3,1,0,0,0,0,0,1,0,148.6,24.49,-1893.36,737.98,76.36,-7.97,5.5,4.4,4,117.2,7384.299805
15,26-03-2020,3,2020,29946.77,130,3,3,1,0,0,0,0,0,1,0,148.6,22.6,-484.78,-769.93,74.89,-7.97,5.5,4.4,4,117.2,7797.540039
16,27-03-2020,3,2020,29815.59,75,4,24,1,0,0,0,0,0,1,0,148.6,21.51,355.78,1703.72,75.47,-7.97,5.5,4.4,4,117.2,7502.379883
19,30-03-2020,3,2020,28440.32,92,4,13,1,0,0,0,0,0,1,0,148.6,20.09,-4363.61,3550.33,75.33,-7.97,5.5,4.4,4,117.2,7774.149902
20,31-03-2020,3,2020,29468.49,326,6,24,1,0,0,0,0,0,1,0,148.6,20.48,-3044.94,3576.23,75.39,-7.97,5.5,4.4,4,117.2,7700.100098
21,01-04-2020,4,2020,28265.31,240,3,9,1,0,0,0,0,0,1,0,151.4,20.31,-1116.79,-450.36,76.4,-7.97,5.45,4.4,4,54,7360.580078
23,03-04-2020,4,2020,27590.95,336,6,6,1,0,0,0,0,0,1,0,151.4,28.34,-1960.97,226.55,76.24,-7.97,5.45,4.4,4,54,7373.080078
27,07-04-2020,4,2020,30067.21,354,5,34,1,0,0,0,0,0,1,0,151.4,23.63,741.77,422.51,75.64,-7.97,5.45,4.4,4,54,7887.259766
28,08-04-2020,4,2020,29893.96,773,35,76,1,0,0,0,0,0,1,0,151.4,25.09,1943.41,-1757.79,75.96,-7.97,5.45,4.4,4,54,8090.899902
29,09-04-2020,4,2020,31159.62,540,17,71,1,0,0,0,0,0,1,0,151.4,22.76,1737.62,-466.02,76.3,-7.97,5.45,4.4,4,54,8153.580078
33,13-04-2020,4,2020,30690.02,796,35,141,1,0,0,0,0,0,1,0,151.4,22.41,-1243.74,-1096.89,76.25,-7.97,5.45,4.4,4,54,8192.419922
35,15-04-2020,4,2020,30379.81,1076,38,270,1,0,0,0,0,0,1,0,151.4,19.87,1358.66,-1097.86,76.56,-7.97,5.45,4.4,4,54,8393.179688
36,16-04-2020,4,2020,30602.61,941,37,183,1,0,0,0,0,0,1,0,151.4,19.87,-2920.36,1321.44,76.75,-7.97,5.45,4.4,4,54,8532.360352
37,17-04-2020,4,2020,31588.72,1007,23,260,1,0,0,0,0,0,1,0,151.4,18.27,-1391.98,534.24,76.56,-7.97,5.45,4.4,3.75,54,8650.139648
40,20-04-2020,4,2020,31648,1553,36,316,1,0,0,0,0,0,1,0,151.4,-37.63,-265.89,-788.87,76.56,-7.97,5.45,4.4,3.75,54,8560.730469
41,21-04-2020,4,2020,30636.71,1336,47,705,1,0,0,0,0,0,1,0,151.4,10.01,-2095.23,-68.46,76.95,-7.97,5.45,4.4,3.75,54,8263.230469
42,22-04-2020,4,2020,31379.55,1383,50,618,1,0,0,0,0,0,1,0,151.4,13.78,-1326.09,863.82,76.44,-7.97,5.45,4.4,3.75,54,8495.379883
43,23-04-2020,4,2020,31863.08,1409,41,388,1,0,0,0,0,0,1,0,151.4,16.5,-114.58,338.27,75.84,-7.97,5.45,4.4,3.75,54,8494.75
44,24-04-2020,4,2020,31327.22,1684,37,491,1,0,0,0,0,0,1,0,151.4,16.94,-207.29,-993.98,76.26,-7.97,5.45,4.4,3.75,54,8634.519531
47,27-04-2020,4,2020,31743.08,1396,48,381,1,0,0,0,0,0,1,0,151.4,12.78,-916.42,1141.97,76.23,-7.97,5.45,4.4,3.75,54,8730.160156
48,28-04-2020,4,2020,32114.52,1543,62,684,1,0,0,0,0,0,1,0,151.4,12.34,-122.15,389,75.96,-7.97,5.45,4.4,3.75,54,8607.730469
49,29-04-2020,4,2020,32720.16,1897,73,827,1,0,0,0,0,0,1,0,151.4,15.06,722.08,78.67,75.45,-7.97,5.45,4.4,3.75,54,8914.709961
50,30-04-2020,4,2020,33717.62,1718,67,629,1,0,0,0,0,0,1,0,151.4,18.84,1968.8,579.03,75.08,-7.97,5.45,4.4,3.75,54,8889.549805
54,04-05-2020,5,2020,31715.35,2553,72,1074,1,0,0,0,0,0,1,0,150.9,20.39,-1373.98,-1661.61,75.64,-7.97,5.1,4.4,3.75,90.2,8710.709961
55,05-05-2020,5,2020,31453.51,3900,195,1020,1,0,0,0,0,0,1,0,150.9,24.56,-1059.39,-995.3,75.72,-7.97,5.1,4.4,3.75,90.2,8809.120117
56,06-05-2020,5,2020,31685.75,2957,126,1456,1,0,0,0,0,0,1,0,150.9,23.99,-493.68,322.47,76.08,-7.97,5.1,4.4,3.75,90.2,8854.389648
57,07-05-2020,5,2020,31443.38,3561,89,1084,1,0,0,0,0,0,1,0,150.9,23.55,19056.49,3818.41,75.78,-7.97,5.1,4.4,3.75,90.2,8979.660156
58,08-05-2020,5,2020,31642.7,3390,103,1273,1,0,0,0,0,0,1,0,150.9,24.74,1724.71,-1503.14,75.58,-7.97,5.1,4.4,3.75,90.2,9121.320313
61,11-05-2020,5,2020,31561.22,4213,97,1559,1,0,0,0,0,0,1,0,150.9,24.14,534.87,-821.6,75.87,-7.97,5.1,4.4,3.75,90.2,9192.339844
62,12-05-2020,5,2020,31371.12,3604,87,1538,1,0,0,0,0,0,1,0,150.9,25.78,-1662.03,-364,75.03,-7.97,5.1,4.4,3.75,90.2,9002.549805
63,13-05-2020,5,2020,32008.61,3525,122,1931,1,0,0,0,0,0,1,0,150.9,25.29,-283.43,232.65,75.33,-7.97,5.1,4.4,3.75,90.2,8863.169922
64,14-05-2020,5,2020,31122.89,3722,134,1849,1,0,0,0,0,0,1,0,150.9,27.56,-2152.52,802.36,75.48,-7.97,5.1,4.4,3.75,90.2,8943.719727
65,15-05-2020,5,2020,31097.73,3967,100,1685,1,0,0,0,0,0,1,0,150.9,29.43,-2388.04,1225.53,75.82,-7.97,5.1,4.4,3.75,90.2,9014.55957
68,18-05-2020,5,2020,30028.98,5242,157,2715,1,0,0,0,0,0,1,0,150.9,31.82,-2512.82,-152.42,75.74,-7.97,5.1,4.4,3.75,90.2,9234.830078
69,19-05-2020,5,2020,30196.17,4970,134,2350,1,0,0,0,0,0,1,0,150.9,32.5,-1328.31,1659.74,75.67,-7.97,5.1,4.4,3.75,90.2,9185.099609
70,20-05-2020,5,2020,30818.61,5611,140,3124,1,0,0,0,0,0,1,0,150.9,33.49,-1466.52,2373.19,75.47,-7.97,5.1,4.4,3.75,90.2,9375.780273
71,21-05-2020,5,2020,30932.9,5609,132,3002,1,0,0,0,0,0,1,0,150.9,33.92,-258.73,401.78,75.63,-7.97,5.1,4.4,3.75,90.2,9284.879883
72,22-05-2020,5,2020,30672.59,6088,148,3234,1,0,0,0,0,0,1,0,150.9,33.25,-1353.9,-344.16,75.99,-7.97,5.1,4,3.35,90.2,9324.589844
76,26-05-2020,5,2020,30609.3,6535,146,2770,1,0,0,0,0,0,1,0,150.9,34.35,4716.13,2841.09,75.43,-7.97,5.1,4,3.35,90.2,9340.219727
77,27-05-2020,5,2020,31605.22,6387,170,3935,1,0,0,0,0,0,1,0,150.9,32.81,-334.74,2408.85,75.88,-7.97,5.1,4,3.35,90.2,9412.360352
78,28-05-2020,5,2020,32200.59,6566,194,3266,1,0,0,0,0,0,1,0,150.9,33.71,2354.14,144.83,75.67,-7.97,5.1,4,3.35,90.2,9368.990234
79,29-05-2020,5,2020,32424.1,7466,175,3414,1,0,0,0,0,0,1,0,150.9,35.49,1460.71,967.43,75.59,-7.97,5.1,4,3.35,90.2,9489.870117
82,01-06-2020,6,2020,33303.52,8392,230,4835,1,0,0,0,0,0,1,0,151.8,35.44,1575.46,-459.25,75.56,-7.97,5.06,4,3.35,107.9,9552.049805
83,02-06-2020,6,2020,33825.53,8171,204,3708,1,0,0,0,0,0,1,0,151.8,36.81,7498.29,441.05,75.03,-7.97,5.06,4,3.35,107.9,9608.379883
84,03-06-2020,6,2020,34109.54,8909,217,4776,1,0,0,0,0,0,1,0,151.8,37.29,1851.12,-781.79,75.32,-7.97,5.06,4,3.35,107.9,9682.910156
85,04-06-2020,6,2020,33980.7,9304,260,3804,1,0,0,0,0,0,1,0,151.8,37.41,2905.04,-847.31,75.43,-7.97,5.06,4,3.35,107.9,9615.80957
86,05-06-2020,6,2020,34287.24,9851,273,5355,1,0,0,0,0,0,1,0,151.8,39.55,97.61,47.29,75.61,-7.97,5.06,4,3.35,107.9,9814.080078
89,08-06-2020,6,2020,34370.58,9983,206,4802,0,1,1,0,0,0,1,0,151.8,38.19,813.27,-1238.23,75.44,-7.97,5.06,4,3.35,107.9,9924.75
90,09-06-2020,6,2020,33956.69,9987,331,5120,0,1,1,0,0,0,1,0,151.8,38.94,490.81,-733.33,75.44,-7.97,5.06,4,3.35,107.9,9953.75
91,10-06-2020,6,2020,34247.05,9985,279,5991,0,1,1,0,0,0,1,0,151.8,39.6,-919.26,500.7,75.65,-7.97,5.06,4,3.35,107.9,10020.34961
92,11-06-2020,6,2020,33538.37,9996,357,5823,0,1,1,0,0,0,1,0,151.8,36.34,-805.14,-874.35,75.97,-7.97,5.06,4,3.35,107.9,9492.730469
93,12-06-2020,6,2020,33780.89,10956,396,6166,0,1,1,0,0,0,1,0,151.8,36.26,-1311.49,1945.15,76.03,-7.97,5.06,4,3.35,107.9,9588.80957
96,15-06-2020,6,2020,33228.8,11502,325,7419,0,1,1,0,0,0,1,0,151.8,37.12,-2960.33,1076.38,75.97,-7.97,5.06,4,3.35,107.9,9726.019531
97,16-06-2020,6,2020,33605.22,10667,380,10215,0,1,1,0,0,0,1,0,151.8,38.38,-1478.52,1161.51,76.19,-7.97,5.06,4,3.35,107.9,9895.870117
98,17-06-2020,6,2020,33507.92,10974,2003,6922,0,1,1,0,0,0,1,0,151.8,37.96,-486.62,168.05,76.25,-7.97,5.06,4,3.35,107.9,9910.530273
99,18-06-2020,6,2020,34208.05,12881,334,7390,0,1,1,0,0,0,1,0,151.8,38.84,366.57,1131.27,76.32,-7.97,5.06,4,3.35,107.9,9943.049805
100,19-06-2020,6,2020,34731.73,13586,336,10386,0,1,1,0,0,0,1,0,151.8,39.75,1237,-880.66,76.21,-7.97,5.06,4,3.35,107.9,9946.120117
103,22-06-2020,6,2020,34911.32,14821,445,9440,0,1,1,0,0,0,1,0,151.8,40.46,702.98,-213.09,75.76,-7.97,5.06,4,3.35,107.9,10056.48047
104,23-06-2020,6,2020,35430.43,14933,312,10994,0,1,1,0,0,0,1,0,151.8,40.37,168.96,454.48,75.48,-7.97,5.06,4,3.35,107.9,10131.37012
105,24-06-2020,6,2020,34868.98,15968,465,10495,0,1,1,0,0,0,1,0,151.8,38.01,1766.9,-1524.9,75.65,-7.97,5.06,4,3.35,107.9,9909.169922
106,25-06-2020,6,2020,34842.1,16922,418,13012,0,1,1,0,0,0,1,0,151.8,38.72,-1050.61,-255.59,75.58,-7.97,5.06,4,3.35,107.9,10017
107,26-06-2020,6,2020,35171.27,17296,407,13940,0,1,1,0,0,0,1,0,151.8,38.49,-753.18,1304.18,75.63,-7.97,5.06,4,3.35,107.9,9757.219727
110,29-06-2020,6,2020,34961.52,19459,380,12010,0,1,1,0,0,0,1,0,151.8,39.7,-1937.06,1036.13,75.52,-7.97,5.06,4,3.35,107.9,9874.150391
111,30-06-2020,6,2020,34915.8,18522,418,13099,0,1,1,0,0,0,1,0,151.8,39.27,-2000.08,2051.31,75.53,-7.97,5.06,4,3.35,107.9,10058.76953
112,01-07-2020,7,2020,35414.45,18653,507,13157,0,1,0,1,0,0,1,0,153.9,39.82,-1696.45,1377.13,75.5,-7.97,5.33,4,3.35,117.9,10154.62988
113,02-07-2020,7,2020,35843.7,19148,434,11881,0,1,0,1,0,0,1,0,153.9,40.65,-556.72,908.64,74.78,-7.97,5.33,4,3.35,117.9,10207.62988
114,03-07-2020,7,2020,36021.42,20903,379,20032,0,1,0,1,0,0,1,0,153.9,40.28,857.29,-331.96,74.7,-7.97,5.33,4,3.35,117.9,10320.64014
117,06-07-2020,7,2020,36487.28,24248,425,15350,0,1,0,1,0,0,1,0,153.9,40.63,348.35,263.47,74.62,-7.97,5.33,4,3.35,117.9,10433.65039
118,07-07-2020,7,2020,36674.52,22252,467,15515,0,1,0,1,0,0,1,0,153.9,40.62,829.9,-784.47,74.81,-7.97,5.33,4,3.35,117.9,10343.88965
119,08-07-2020,7,2020,36329.01,22752,482,16883,0,1,0,1,0,0,1,0,153.9,40.9,-994.87,-853.41,74.94,-7.97,5.33,4,3.35,117.9,10492.5
120,09-07-2020,7,2020,36737.69,24879,487,19547,0,1,0,1,0,0,1,0,153.9,39.62,212.77,-803.39,75.12,-7.97,5.33,4,3.35,117.9,10547.75
121,10-07-2020,7,2020,36594.33,26506,475,19135,0,1,0,1,0,0,1,0,153.9,40.55,-1031,-431.21,75.14,-7.97,5.33,4,3.35,117.9,10617.44043
124,13-07-2020,7,2020,36693.69,28701,500,18850,0,1,0,1,0,0,1,0,153.9,40.1,221.76,-1485.59,75.16,-7.97,5.33,4,3.35,117.9,10390.83984
125,14-07-2020,7,2020,36033.06,28498,553,17989,0,1,0,1,0,0,1,0,153.9,40.29,-1565.62,-649.7,75.38,-7.97,5.33,4,3.35,117.9,10488.58008
126,15-07-2020,7,2020,36051.81,29429,582,20572,0,1,0,1,0,0,1,0,153.9,41.2,-221.7,-899.37,75.11,-7.97,5.33,4,3.35,117.9,10550.49023
127,16-07-2020,7,2020,36471.68,32695,606,20783,0,1,0,1,0,0,1,0,153.9,40.75,-1091.08,1659.91,75.11,-7.97,5.33,4,3.35,117.9,10473.83008
128,17-07-2020,7,2020,37020.14,34956,687,22942,0,1,0,1,0,0,1,0,153.9,40.59,697.08,-209.42,74.93,-7.97,5.33,4,3.35,117.9,10503.19043
131,20-07-2020,7,2020,37418.99,40425,681,22664,0,1,0,1,0,0,1,0,153.9,40.81,1709.97,-1521.99,74.77,-7.97,5.33,4,3.35,117.9,10767.08984
132,21-07-2020,7,2020,37930.33,37148,587,24491,0,1,0,1,0,0,1,0,153.9,41.96,2265.88,-727.39,74.54,-7.97,5.33,4,3.35,117.9,10680.36035
133,22-07-2020,7,2020,37871.52,37724,648,28472,0,1,0,1,0,0,1,0,153.9,41.9,1665.57,-1138.83,74.56,-7.97,5.33,4,3.35,117.9,10706.12988
134,23-07-2020,7,2020,38140.47,45720,1129,29557,0,1,0,1,0,0,1,0,153.9,41.07,1740.5,-931.91,74.81,-7.97,5.33,4,3.35,117.9,10461.41992
135,24-07-2020,7,2020,38128.9,49310,740,34602,0,1,0,1,0,0,1,0,153.9,41.29,409.88,-1002.98,74.77,-7.97,5.33,4,3.35,117.9,10363.17969
138,27-07-2020,7,2020,37934.73,49931,708,31991,0,1,0,1,0,0,1,0,153.9,41.6,-453.31,-977.88,74.77,-7.97,5.33,4,3.35,117.9,10536.26953
139,28-07-2020,7,2020,38492.95,47703,654,35175,0,1,0,1,0,0,1,0,153.9,41.04,245.95,-1017.4,74.91,-7.97,5.33,4,3.35,117.9,10402.08984
140,29-07-2020,7,2020,38071.13,48513,768,35286,0,1,0,1,0,0,1,0,153.9,41.27,-352.62,-505.62,74.92,-7.97,5.33,4,3.35,117.9,10542.94043
141,30-07-2020,7,2020,37736.07,52123,775,32553,0,1,0,1,0,0,1,0,153.9,39.92,207.3,-387.24,74.88,-7.97,5.33,4,3.35,117.9,10587.80957
142,31-07-2020,7,2020,37606.89,55078,779,37223,0,1,0,1,0,0,1,0,153.9,40.27,-958.64,442.73,74.9,-7.97,5.33,4,3.35,117.9,10745.26953
145,03-08-2020,8,2020,36939.6,52972,771,40574,0,1,0,0,1,0,1,0,154.7,41.01,7818.49,-135.55,75.2,-7.97,5.63,4,3.35,117.2,10902.79981
146,04-08-2020,8,2020,37687.91,52050,803,44306,0,1,0,0,1,0,1,0,154.7,41.7,703.74,-665.69,75.06,-7.97,5.63,4,3.35,117.2,10941.16992
147,05-08-2020,8,2020,37663.33,52509,857,51706,0,1,0,0,1,0,1,0,154.7,42.19,-60.18,-425.98,74.8,-7.97,5.63,4,3.35,117.2,10998.40039
148,06-08-2020,8,2020,38025.45,56282,904,46121,0,1,0,0,1,0,1,0,154.7,41.95,637.43,-468,74.87,-7.97,5.63,4,3.35,117.2,11108.07031
149,07-08-2020,8,2020,38040.57,62538,886,49769,0,1,0,0,1,0,1,0,154.7,41.22,397.32,-438.62,75.04,-7.97,5.63,4,3.35,117.2,11010.98047
152,10-08-2020,8,2020,38182.08,62064,1007,54859,0,1,0,0,1,0,1,0,154.7,41.94,302.88,-504.92,74.91,-7.97,5.63,4,3.35,117.2,10968.36035
153,11-08-2020,8,2020,38407.01,53601,871,47746,0,1,0,0,1,0,1,0,154.7,41.61,1013.66,-1415.54,74.61,-7.97,5.63,4,3.35,117.2,10782.82031
154,12-08-2020,8,2020,38369.63,60963,834,56110,0,1,0,0,1,0,1,0,154.7,42.67,351.15,-939.67,74.73,-7.97,5.63,4,3.35,117.2,11012.24023
155,13-08-2020,8,2020,38310.49,66999,942,56383,0,1,0,0,1,0,1,0,154.7,42.24,416.28,-763.54,74.81,-7.97,5.63,4,3.35,117.2,11042.5
156,14-08-2020,8,2020,37877.34,64553,1007,55573,0,1,0,0,1,0,1,0,154.7,42.01,46.39,-797.08,74.87,-7.97,5.63,4,3.35,117.2,11019.29981
159,17-08-2020,8,2020,38050.78,57981,941,57584,0,1,0,0,1,0,1,0,154.7,42.89,332.9,-717.62,74.74,-7.97,5.63,4,3.35,117.2,11129.73047
160,18-08-2020,8,2020,38528.32,55079,876,57937,0,1,0,0,1,0,1,0,154.7,42.89,1134.57,-379.38,74.62,-7.97,5.63,4,3.35,117.2,11210.83984
161,19-08-2020,8,2020,38614.79,64531,1092,60091,0,1,0,0,1,0,1,0,154.7,42.93,459.01,-97.13,74.85,-7.97,5.63,4,3.35,117.2,11146.45996
162,20-08-2020,8,2020,38220.39,69652,977,58794,0,1,0,0,1,0,1,0,154.7,42.58,-268.46,-672.23,75.01,-7.97,5.63,4,3.35,117.2,11264.9502
163,21-08-2020,8,2020,38434.72,68898,983,62282,0,1,0,0,1,0,1,0,154.7,42.34,410.16,-250.65,74.92,-7.97,5.63,4,3.35,117.2,11311.79981
166,24-08-2020,8,2020,38799.08,61408,836,57469,0,1,0,0,1,0,1,0,154.7,42.62,219.07,-335.64,74.17,-7.97,5.63,4,3.35,117.2,11379.71973
167,25-08-2020,8,2020,38843.88,60975,848,66550,0,1,0,0,1,0,1,0,154.7,43.35,1481.2,-172.97,74.2,-7.97,5.63,4,3.35,117.2,11466.46973
168,26-08-2020,8,2020,39073.92,67151,1059,63173,0,1,0,0,1,0,1,0,154.7,43.39,1581.31,-1194.62,74.22,-7.97,5.63,4,3.35,117.2,11665.05957
169,27-08-2020,8,2020,39113.47,75760,1023,56013,0,1,0,0,1,0,1,0,154.7,43.04,1164.32,-809.27,73.89,-7.97,5.63,4,3.35,117.2,11625.33984
170,28-08-2020,8,2020,39467.31,77266,1057,60177,0,1,0,0,1,0,1,0,154.7,42.97,1004.11,-543.56,73.11,-7.97,5.63,4,3.35,117.2,11695.62988
173,31-08-2020,8,2020,38628.29,78512,971,60868,0,1,0,0,0,1,1,0,154.7,42.61,-3395.49,680.88,73.25,-7.97,5.63,4,3.35,117.2,11775.45996
